alt,u,v
0,0,0
10,-1.73438,0.70625
84.1177,-1.65073,1.3655
304.961,1.6165,1.73281
530.569,3.84728,0.909781
761.07,4.56511,0.797109
996.818,4.36771,0.993328
1484.49,4.35572,0.284316
1994.83,5.11693,0.0692768
3102.57,6.86395,-1.78281
4354.29,12.1188,-3.89157
5804.02,14.7592,-9.05602
7516.94,22.6856,-10.173
9622.68,34.8462,-9.65978
10888.7,30.6225,-17.0394
12369,31.6904,-22.3539
14212.6,31.3216,-9.67582
16700.6,11.9251,-8.99008
