time,thrust,mdotp
13.3796,4531.764071,2.114077959
13.4602,4534.712993,2.11574855
13.5408,5161.592087,2.470881203
13.6214,5165.382994,2.473028786
13.702,4660.836326,2.187198554
13.7826,4134.528613,1.889040494
13.8632,4136.984975,1.890432045
13.9438,3849.575564,1.727612025
14.0244,3851.658859,1.72879223
14.105,3353.142638,1.446378301
14.1856,3354.565567,1.447184403
14.2662,3107.059036,1.306969724
14.3468,3108.152791,1.307589346
14.4274,2841.917545,1.156764681
14.508,2651.71351,1.049012382
14.5886,2652.195218,1.049285274
14.6692,2534.528983,0.982626292
14.7498,2534.852522,0.98280958
14.8304,2361.788344,0.884767164
14.911,2361.913808,0.884838241
14.9916,2305.007849,0.852600502
15.0722,2305.069094,0.852635198
15.1528,2234.608278,0.812718512
15.2334,2168.541283,0.775290963
15.314,2168.412716,0.775218129
15.3946,2111.237694,0.742827964
15.4752,2111.029916,0.742710256
15.5558,2007.060564,0.683810682
15.6364,2006.708843,0.683611428
15.717,1964.583136,0.659746836
15.7976,1964.173738,0.659514908
15.8782,1904.472298,0.625693505
15.9588,1837.951197,0.588008702
16.0394,1837.368852,0.587678799
16.12,1788.275168,0.559866784
16.2006,1787.626459,0.559499285
16.2812,1747.450216,0.536739081
16.3618,1746.747811,0.536341163
16.4424,1725.832789,0.524492614
16.523,1725.103539,0.524079488
16.6036,1687.542112,0.502800601
16.6842,1630.615904,0.470551391
16.7648,1629.760528,0.470066813
16.8454,1562.427581,0.431922092
16.926,1561.48253,0.431386712
17.0066,1515.620741,0.405405596
17.0872,1514.616063,0.404836436
17.1678,1514.959957,0.405031255
17.2484,1513.959214,0.404464325
17.329,1457.261937,0.372344807
17.4096,1412.61758,0.347053377
17.4902,1411.48495,0.346411732
17.5708,1394.632653,0.336864754
17.6514,1393.481375,0.336212545
17.732,1361.338745,0.318003455
17.8126,1360.1483,0.317329057
17.8932,1332.90757,0.301896938
17.9738,1331.684949,0.301204312
18.0544,1306.658062,0.287026356
18.135,1290.584078,0.277920299
18.2156,1289.314326,0.277200973
18.2962,1287.147975,0.275973716
18.3768,1285.88048,0.275255668
18.4574,1249.580008,0.254691124
18.538,1248.26913,0.2539485
18.6186,1221.807089,0.238957515
18.6992,1220.466405,0.238198006
18.7798,1249.221369,0.254487952
18.8604,1228.161638,0.242557425
18.941,1226.840497,0.241808986
19.0216,1207.555004,0.230883581
19.1022,1206.213929,0.23012385
19.1828,1212.061327,0.233436453
19.2634,1210.73372,0.232684352
19.344,1177.518192,0.213867456
19.4246,1176.152559,0.213093813
19.5052,1195.000835,0.223771531
19.5858,1188.725236,0.220216347
19.6664,1187.385834,0.219457564
19.747,1168.082509,0.208522057
19.8276,1166.723711,0.207752286
19.9082,1164.468721,0.206474814
19.9888,1163.112959,0.205706762
20.0694,1173.437076,0.211555467
20.15,1141.558866,0.193496174
20.2306,1140.18496,0.192717844
20.3112,1144.202947,0.19499407
20.3918,1142.840367,0.194222156
20.4724,1161.691273,0.204901364
20.553,1160.35903,0.204146636
20.6336,1157.232309,0.202375321
20.7142,1155.901918,0.201621642
20.7948,1154.573611,0.200869145
20.8754,1146.959486,0.196555674
20.956,1145.627321,0.19580099
21.0366,1140.704193,0.193011994
21.1172,1139.371676,0.192257111
21.1978,1135.795623,0.190231245
21.2784,1134.464507,0.189477156
21.359,1142.118138,0.193813007
21.4396,1140.802655,0.193067774
21.5202,1130.057567,0.186980584
21.6008,1139.513456,0.192337431
21.6814,1138.205984,0.191596736
21.762,1122.079445,0.182460907
21.8426,1120.757561,0.181712047
21.9232,1126.623817,0.185035334
22.0038,1125.315227,0.184294006
22.0844,1121.763148,0.182281722
22.165,1120.456007,0.181541214
22.2456,1123.193082,0.183091792
22.3262,1118.302272,0.180321104
22.4068,1117.002079,0.179584533
22.4874,1116.602252,0.179358027
22.568,1115.307431,0.1786245
22.6486,1104.583303,0.172549185
22.7292,1103.281115,0.171811483
22.8098,1092.998811,0.165986465
22.8904,1091.689923,0.165244968
22.971,1077.358983,0.157126362
23.0516,1079.182339,0.15815931
23.1322,1077.868014,0.157414733
23.2128,1081.945247,0.159724522
23.2934,1080.641974,0.158986206
23.374,1070.80788,0.153415103
23.4546,1069.498696,0.152673438
23.5352,1071.784614,0.153968432
23.6158,1070.484289,0.153231786
23.6964,1068.737104,0.15224199
23.777,1069.237135,0.152525262
23.8576,1067.94516,0.151793346
23.9382,1052.733293,0.143175687
24.0188,1051.4291,0.14243685
24.0994,1051.9236,0.142716988
24.18,1050.626145,0.141981968
