time,thrust
0,14.92910558
0.000333333,17.06533658
0.000666667,14.92910558
0.001,14.92910558
0.001333333,14.92910558
0.001666667,12.18252358
0.002,11.26699658
0.002333333,8.825589579
0.002666667,10.35146858
0.003,11.87734758
0.003333333,11.26699658
0.003666667,13.40322658
0.004,14.62392958
0.004333333,13.09805058
0.004666667,14.31875458
0.005,12.18252358
0.005333333,12.48769958
0.005666667,13.40322658
0.006,11.26699658
0.006333333,12.79287558
0.006666667,12.79287558
0.007,12.18252358
0.007333333,13.70840258
0.007666667,11.57217258
0.008,11.57217258
0.008333333,12.79287558
0.008666667,11.26699658
0.009,11.87734758
0.009333333,12.48769958
0.009666667,10.65664458
0.01,12.79287558
0.010333333,11.57217258
0.010666667,13.40322658
0.011,16.76016058
0.011333333,17.06533658
0.011666667,17.67568758
0.012,17.37051158
0.012333333,14.01357858
0.012666667,13.40322658
0.013,9.130765579
0.013333333,10.35146858
0.013666667,13.40322658
0.014,12.18252358
0.014333333,13.40322658
0.014666667,14.01357858
0.015,12.79287558
0.015333333,13.70840258
0.015666667,12.48769958
0.016,13.09805058
0.016333333,13.70840258
0.016666667,11.87734758
0.017,12.18252358
0.017333333,13.09805058
0.017666667,10.04629358
0.018,11.57217258
0.018333333,10.96182058
0.018666667,10.65664458
0.019,13.70840258
0.019333333,12.48769958
0.019666667,14.31875458
0.02,14.92910558
0.020333333,12.79287558
0.020666667,14.01357858
0.021,9.130765579
0.021333333,7.299711579
0.021666667,9.130765579
0.022,8.215238579
0.022333333,10.35146858
0.022666667,11.87734758
0.023,11.57217258
0.023333333,14.62392958
0.023666667,11.57217258
0.024,12.48769958
0.024333333,13.09805058
0.024666667,10.96182058
0.025,11.87734758
0.025333333,12.18252358
0.025666667,12.48769958
0.026,12.79287558
0.026333333,11.87734758
0.026666667,11.57217258
0.027,13.09805058
0.027333333,10.04629358
0.027666667,11.57217258
0.028,11.26699658
0.028333333,10.04629358
0.028666667,10.65664458
0.029,7.910062579
0.029333333,8.520414579
0.029666667,10.96182058
0.03,11.87734758
0.030333333,14.92910558
0.030666667,16.76016058
0.031,14.92910558
0.031333333,15.84463258
0.031666667,14.31875458
0.032,14.31875458
0.032333333,16.76016058
0.032666667,13.40322658
0.033,13.70840258
0.033333333,12.79287558
0.033666667,10.96182058
0.034,11.57217258
0.034333333,11.57217258
0.034666667,12.18252358
0.035,14.01357858
0.035333333,11.57217258
0.035666667,11.57217258
0.036,12.18252358
0.036333333,11.87734758
0.036666667,12.79287558
0.037,12.48769958
0.037333333,13.40322658
0.037666667,15.23428158
0.038,12.48769958
0.038333333,14.01357858
0.038666667,13.70840258
0.039,14.92910558
0.039333333,16.45498458
0.039666667,16.76016058
0.04,14.92910558
0.040333333,15.84463258
0.040666667,12.18252358
0.041,12.79287558
0.041333333,12.18252358
0.041666667,8.520414579
0.042,8.825589579
0.042333333,10.96182058
0.042666667,10.96182058
0.043,13.09805058
0.043333333,9.435941579
0.043666667,9.130765579
0.044,9.435941579
0.044333333,8.215238579
0.044666667,11.87734758
0.045,11.87734758
0.045333333,11.57217258
0.045666667,14.31875458
0.046,11.87734758
0.046333333,12.48769958
0.046666667,12.79287558
0.047,11.26699658
0.047333333,11.87734758
0.047666667,11.57217258
0.048,11.87734758
0.048333333,13.70840258
0.048666667,12.48769958
0.049,13.70840258
0.049333333,14.62392958
0.049666667,12.79287558
0.05,13.70840258
0.050333333,11.87734758
0.050666667,11.87734758
0.051,13.40322658
0.051333333,11.87734758
0.051666667,12.79287558
0.052,13.40322658
0.052333333,13.40322658
0.052666667,15.23428158
0.053,14.62392958
0.053333333,14.92910558
0.053666667,16.76016058
0.054,13.09805058
0.054333333,13.70840258
0.054666667,14.01357858
0.055,12.18252358
0.055333333,14.92910558
0.055666667,13.40322658
0.056,13.70840258
0.056333333,16.45498458
0.056666667,14.01357858
0.057,13.70840258
0.057333333,14.62392958
0.057666667,13.09805058
0.058,14.31875458
0.058333333,14.01357858
0.058666667,13.09805058
0.059,14.62392958
0.059333333,12.79287558
0.059666667,14.31875458
0.06,13.09805058
0.060333333,12.79287558
0.060666667,15.23428158
0.061,15.23428158
0.061333333,17.06533658
0.061666667,19.20156658
0.062,18.28603958
0.062333333,17.67568758
0.062666667,17.37051158
0.063,14.92910558
0.063333333,14.92910558
0.063666667,13.40322658
0.064,14.01357858
0.064333333,15.84463258
0.064666667,13.09805058
0.065,14.01357858
0.065333333,14.92910558
0.065666667,14.01357858
0.066,15.84463258
0.066333333,15.23428158
0.066666667,15.84463258
0.067,16.76016058
0.067333333,15.84463258
0.067666667,15.23428158
0.068,14.92910558
0.068333333,13.40322658
0.068666667,16.45498458
0.069,16.76016058
0.069333333,17.37051158
0.069666667,19.20156658
0.07,17.67568758
0.070333333,18.59121458
0.070666667,19.20156658
0.071,18.28603958
0.071333333,20.11709358
0.071666667,18.59121458
0.072,19.20156658
0.072333333,20.72744558
0.072666667,18.59121458
0.073,19.50674258
0.073333333,20.72744558
0.073666667,19.81191858
0.074,23.77920358
0.074333333,23.77920358
0.074666667,24.69473058
0.075,26.22060958
0.075333333,24.08437958
0.075666667,24.69473058
0.076,25.61025758
0.076333333,24.69473058
0.076666667,26.22060958
0.077,26.83096158
0.077333333,27.44131258
0.077666667,28.96719158
0.078,26.22060958
0.078333333,27.74648858
0.078666667,30.79824658
0.079,32.01894958
0.079333333,35.98623458
0.079666667,36.90176158
0.08,38.73281658
0.080333333,42.70010158
0.080666667,41.17422258
0.081,43.92080458
0.081333333,49.10879358
0.081666667,51.85537558
0.082,55.51748458
0.082333333,54.29678158
0.082666667,55.51748458
0.083,54.90713258
0.083333333,51.85537558
0.083666667,52.77090258
0.084,56.12783658
0.084333333,55.51748458
0.084666667,57.34853958
0.085,57.04336358
0.085333333,56.73818758
0.085666667,59.17959358
0.086,58.26406658
0.086333333,61.31582458
0.086666667,62.53652758
0.087,64.36758258
0.087333333,68.02969158
0.087666667,68.94521858
0.088,72.30215258
0.088333333,76.87978958
0.088666667,79.32119558
0.089,83.28848058
0.089333333,86.95058958
0.089666667,87.25576558
0.09,90.00234758
0.090333333,88.78164458
0.090666667,91.83340258
0.091,96.10586358
0.091333333,101.9042036
0.091666667,104.3456096
0.092,100.3783246
0.092333333,98.85244558
0.092666667,99.15762158
0.093,97.63174258
0.093333333,95.49551158
0.093666667,93.96963258
0.094,86.34023858
0.094333333,81.15225058
0.094666667,72.60732858
0.095,66.50381258
0.095333333,65.58828558
0.095666667,63.75723058
0.096,67.11416458
0.096333333,75.35391058
0.096666667,80.54189858
0.097,91.22305058
0.097333333,100.9886756
0.097666667,108.0077186
0.098,115.6371136
0.098333333,118.0785196
0.098666667,121.7406296
0.099,127.2337936
0.099333333,127.8441446
0.099666667,130.2855506
0.1,134.2528366
0.100333333,136.6942426
0.100666667,141.2718796
0.101,144.9339886
0.101333333,152.2582076
0.101666667,163.5497116
0.102,172.0946326
